contract_number;name_address_device;connection_scheme;delivery_point;place_of_installation_of_the_meter;estimated_voltage_level;max_point_1;max_point_2;estimated_coefficient;th_power;tt_amperage;type_device;device_number;accuracy_class;significance;date_past;date_future;calibration_interval;purpose_of_accounting;kWh;percent;note
6910500016;Полигон, 171260, обл Тверская, р-н Конаковский, п.Редкино;ПС Редкинское РО;"ф.""Торфоболото""";Щитовая / Распределительный щит (РЩ)(19);СН2;;100;10;;;Меркурий 230;21225803;1;6;01.01.2015;01.01.2025;10;;;;
6910500016;Полигон, 171260, обл Тверская, р-н Конаковский, п.Редкино;ПС Редкинское РО;"№ 36 ЛЭП-6 кВ фидер ""Торфоболото""";Щитовая / Распределительный щит (РЩ)(19);СН2;;100;1;;;Меркурий 230;32341198;0,5;6;01.01.2017;01.01.2027;10;;;;
6730100019;с. Остер , ул.Советская,д.№9 , храм , 216537, ОБЛАСТЬ СМОЛЕНСКАЯ, РОСЛАВЛЬСКИЙ РАЙОН, Остер с , Советская ул. , д.   9, , ;ТП КТП 11-18->Фидер 618->ПС Мясокомбин;разъемные эл. контакты, подключ КЛ-04 кВ к комм. аппрату к щу на опоре  №11;Санитарный узел(13);НН;;6,3;1;;;Меркурий 230 АМ-01;34315694;0,5;5,1;01.01.2018;01.01.2028;10;;;;
6730100041;торговый павильон д.Лесники, 216521, ОБЛАСТЬ СМОЛЕНСКАЯ, РОСЛАВЛЬСКИЙ РАЙОН, , Лесники д , , , ;ТП ВЕД->Фидер 1001->ПС Астапковичи;разъемный электрический контакт изолир провода ввода в здании торгового павильона с пров. на трубост;Вводно-распределительное устройство (ВРУ)(23);НН;;1,3;1;;;СЭТ1-1-1;09540027;0,5;5;01.03.2007;01.03.2023;16;Расчетный;;;
